date,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
2020-09-21,2.3456,42.42,24.45,0.3274,0.7638,1.0855
2020-09-22,2.4084,42.09,25.05,0.2616,0.6763,1.1105
2020-09-23,2.3943,41.63,26.23,0.2757,0.6903,1.114
2020-09-24,2.3329,41.11,27.6,0.3351,0.7469,1.1485
2020-09-25,2.3729,40.7,28.15,0.2951,0.7466,1.1247
2020-09-28,2.3851,41.33,27.23,0.2879,0.7349,1.1219
2020-09-29,2.3935,41.17,27.22,0.2905,0.739,1.1335
2020-09-30,2.4407,42,27.03,0.2503,0.7167,1.1168
2020-10-09,2.4915,43.24,24.17,0.2165,0.6963,1.1032
2020-10-12,2.3754,44.4,23.43,0.3466,0.8104,1.1277
2020-10-13,2.4579,44.34,23.72,0.2761,0.7352,1.1072
2020-10-14,2.4874,43.78,24.22,0.2696,0.7257,1.1037
2020-10-15,2.4503,43.45,24.04,0.3237,0.7805,1.0968
2020-10-16,2.4025,44.11,24.42,0.3835,0.8285,1.0913
2020-10-19,2.616,44.09,25.46,0.187,0.5781,1.1325
2020-10-20,2.483,44.28,26.65,0.346,0.7135,1.1277
2020-10-21,2.6037,44.68,26.07,0.2513,0.5924,1.1229
2020-10-22,2.6454,45.02,26.7,0.2316,0.5141,1.1458
2020-10-23,2.5932,45.13,26.65,0.3018,0.5933,1.1163
2020-10-26,2.6606,44.7,28.68,0.2524,0.5362,1.0891
2020-10-27,2.471,44.79,29.64,0.462,0.7085,1.1108
2020-10-28,2.5392,43.89,33.15,0.4128,0.6427,1.1214
2020-10-29,2.4892,44.55,30.66,0.4708,0.698,1.1171
2020-10-30,2.5106,43.97,31.83,0.4614,0.6792,1.1147
