,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457830578076394,0.0403332567829987,0.00485405422231956,0,0,0,0.0174472499082925,0.0780953393355169,0.123374443276358,0.00345672068880007,0,-0.0201103396962576,-0.00397452294509861,0,0
X601601.CH.EQUITY,0,0,0,0.284561430604137,0,0,0,0.187234911859721,0,0.143316460850199,0,0,-0.0892365375970557,0,0,0,0,0.154988128725625,0.00105954150841336,0,0,0,0,0,0.343636606494343,0,0,0,0.00713429886343661,0.0212347205886634,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0439531944188837,0,0,0,0,-0.0883723208261859,0,0,0,0,0.512828224651871,0,0,0,0,0,0,0.111580357768628,-0.0407742252597323,0,0,-0.00106818218041875,0.00611439133300895,-0.040786374422478
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108858264089743,0.183286586577989,0,0,0,0,0.165916839182621,0,0,0.0466543587875357,0,0.00671898789835559,0,-0.00465928481705132,-0.020007090496087
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215073414845944,0,0.252986544253772,0.094024147708035,0,0,0,0,0,0,0,0,0,0.0157313959937759,-0.00770069591520762,-0.849298374712709,-0.376981026819718
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0403002203021803,0,0,0.260912766433003,-4.33680868994202e-19,0,0.154993240019302,-0.0935801487745205,0,-0.0231654547566848,0,0,0,0,0,0,0,-0.154473618945861,-0.00217082031405323,0.0425894497326036,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306980355776478,1.01193790632592,0,0,0,0.188865512517813,0,0,0,0,0,0.212505461391086,-1.32315986037858,0,0.126198854441096,0,-0.433043003268364
TED.SP,0,0,0,0,0,0,-0.358301373507475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189028652204766,0,0.355487975773746,0
CN3M10YSLOPE,0.0161279041936492,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12907304049644,0,0,0,0.161130881980966,0,0,0,0.0238853864119004,0,0,-0.924172856113359,0,4.33680868994202e-19,0,0,-0.457244044590839
CREDIT.SP,0,0,0,0,0,0,0,0.187595244405741,0,0,0,0,-0.02872670034772,0.265307028736899,-0.295843976076852,0,-0.173614008165381,0,-1.38777878078145e-17,0,0,0,0.0856591097645882,0,0.187491085019171,-0.30827859023795,0,-0.017435944486625,0,-0.28171318820223,0
